Rendang,Makanan,Sumatra Barat,http://dbpedia.org/resource/Rendang
Nasi Gandul,Makanan,Jawa Tengah,https://www.wikidata.org/wiki/Q12500151
Tari Gambyong,Tarian,Jawa Tengah,https://id.wikipedia.org/wiki/Tari_Gambyong
